Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree,Multiplicity,Associated_genes
10,0.0073,0.008,7,142,25,"RPL7L1P12, PIGFP2, BMP2KL, RPL7P14, DIAPH2-AS1, TAS2R30, ZBTB20-AS2, AC021646.1, AC005072.1, AC136603.1, AF127577.6, NPM1P30, AC007599.1, AL139274.1, AC010468.1, AP000462.2, EGLN3P1, AC004865.1, AC006270.2, AL160274.1, KRT18P57, TPI1P3, POU5F1P4, THSD4-AS1, AC008277.1"
11,0.0018,0.002,0,718,2,"Y_RNA, AC099342.1"
12,0.0272,0.0301,12,5,1,ARL8B
13,0.0091,0.01,7,711,1,AC007114.2
14,0.2704,0.2745,260,0,1,CALB2
15,0.4737,0.513,978,0,1,MFSD3
16,0.0417,0.0441,47,380,1,AC092839.1
17,0.0145,0.014,11,381,1,LINC00636
18,0.0145,0.016,7,10,1,PIGV
19,0.0018,0.002,0,195,7,"AC055876.5, LRRC2-AS1, RNU6-351P, HPAT5, LINC01650, DDR1-DT, HDGFL1"
20,0.0018,0.002,0,167,15,"CHIAP1, OFD1P3Y, AL355102.2, MICC, OFD1P1Y, SIGLECL1, HOMER2P2, AC064862.5, AC022431.1, OR1E2, PSG2, Y_RNA, OR4Q3, RNU1-64P, RN7SL290P"
21,0.029,0.0321,42,365,1,ECE1-AS1
22,0.078,0.0822,68,16,1,ZNF708
23,0.0054,0.006,3,1020,1,LINC01224
24,0.0581,0.0581,39,146,1,AC127002.2
25,0.1143,0.1162,69,0,1,MYADML2
26,0.0526,0.0541,41,1,1,DNM3-IT1
27,0.1034,0.1082,44,0,1,PHEX
28,0.3267,0.3367,771,0,1,MOGAT2
29,0.0254,0.0281,20,68,1,AC006557.5
30,0.0563,0.0621,27,0,1,PFN2
31,0.0109,0.012,8,556,1,AC007861.1
32,0.127,0.1363,164,1,1,AC005324.4
33,0.0399,0.0441,21,66,1,RMND5A
34,0.2958,0.3226,559,0,1,AC092301.1
