Total Dysregulations,Sample Type,Altered Brownian Nodes
3155,Normal,33475,
3667,Normal,5038,32568,
7966,Normal,9973,
5218,Normal,23630,
5936,Normal,756,1489,18702,
5957,Normal,635,
5816,Normal,13050,
3130,Normal,8829,
2821,Normal,5136,20431,32339,40083,41641,45960,
5687,Normal,17616,
2254,Normal,4520,4615,8437,13705,19285,21220,29336,29707,37977,39128,40075,42887,
6395,Normal,35575,
8208,Normal,2411,3682,
2220,Normal,46419,
4456,Normal,27167,
2980,Normal,38378,
2705,Normal,4435,9547,21028,
4347,Normal,11025,18548,22464,34156,36363,
2771,Normal,41472,
2405,Normal,6405,8355,19615,26753,28836,42924,
2778,Normal,16779,32335,
4376,Normal,1357,
2664,Normal,8156,22280,22707,36429,39326,
2974,Normal,22793,
4747,Normal,13281,
2247,Normal,4069,11699,12665,
3797,Normal,34587,
7481,Normal,2604,
6522,Normal,9681,35485,39232,46342,
3602,Normal,325,2644,25649,30658,
2572,Normal,19029,
2566,Normal,12721,17452,21675,
4183,Normal,5148,8394,21190,
3322,Normal,17852,
4946,Normal,2523,
4208,Normal,31049,
3506,Normal,12444,26622,
4875,Normal,36705,
3526,Normal,10972,12105,22213,31662,
3503,Normal,16682,
5552,Normal,2391,
3747,Normal,7276,
5919,Normal,2676,
2676,Normal,2049,21742,
3548,Normal,1550,
8462,Tumor,19480,
5958,Tumor,10467,20322,30739,34215,
7607,Tumor,6355,
5689,Tumor,238,
8155,Tumor,567,
5318,Tumor,10731,
8044,Tumor,4962,43738,44763,
6534,Tumor,11364,43395,
7548,Tumor,16752,18376,23970,24835,41757,
9067,Tumor,2943,34506,
9511,Tumor,13191,
5776,Tumor,7730,
8644,Tumor,21074,
2368,Tumor,7002,30712,32938,
8519,Tumor,15756,18120,
11307,Tumor,6356,
3409,Tumor,33576,
13808,Tumor,1518,
6843,Tumor,15095,23633,30749,31632,
6467,Tumor,12986,29509,46381,
5770,Tumor,5141,9544,40924,
9782,Tumor,7334,43984,
5564,Tumor,6269,40029,
5825,Tumor,2820,16064,
11076,Tumor,1395,
11712,Tumor,477,
6405,Tumor,14368,
6558,Tumor,4418,13638,20505,21164,
4313,Tumor,25646,
5319,Tumor,11667,
8391,Tumor,7557,
7640,Tumor,3425,3813,20858,34998,
8188,Tumor,10184,
5808,Tumor,6388,7484,
7196,Tumor,5404,13746,23833,
7623,Tumor,16588,
6190,Tumor,1465,5404,
7356,Tumor,8332,
7997,Tumor,6621,
7951,Tumor,6181,36774,
6227,Tumor,2690,22301,36183,36492,37215,
9973,Tumor,4234,
7848,Tumor,4115,9208,28550,38472,
9204,Tumor,6991,
12233,Tumor,17182,29574,36738,
5174,Tumor,16442,
2411,Tumor,18380,
4938,Tumor,2814,7366,14375,
10070,Tumor,7838,
8289,Tumor,5591,
8545,Tumor,4367,13441,14333,46459,
8989,Tumor,16426,
3462,Tumor,841,2646,17943,18567,21122,23569,23601,23806,26420,33990,40115,
9973,Tumor,1478,
8683,Tumor,44626,
10480,Tumor,6048,28746,
7279,Tumor,25876,
4441,Tumor,5219,
7031,Tumor,20587,28660,
5894,Tumor,8136,8997,20554,
8065,Tumor,3472,5893,9934,28355,35853,
9303,Tumor,1064,20054,33371,
7398,Tumor,5438,19683,24077,
9343,Tumor,4372,
12730,Tumor,669,
9798,Tumor,2562,
10960,Tumor,12107,
5153,Tumor,15613,24769,36233,
3032,Tumor,15626,31771,
13232,Tumor,24593,29280,
5437,Tumor,6861,
6707,Tumor,44259,
5886,Tumor,4758,
5426,Tumor,678,5157,19404,34879,
6564,Tumor,3458,
4624,Tumor,2311,3813,9725,10257,18557,25797,30824,32932,41305,45031,
5742,Tumor,2905,20386,
6235,Tumor,7735,27961,32353,36926,
9903,Tumor,24867,27180,43576,
10214,Tumor,1270,
6088,Tumor,26608,41299,42943,
4952,Tumor,21478,27416,
9842,Tumor,5077,
7261,Tumor,8001,
7670,Tumor,22682,
4848,Tumor,10001,
7262,Tumor,5464,
10804,Tumor,306,
3772,Tumor,4590,11745,29737,
5955,Tumor,2908,32527,
3493,Tumor,4652,
7421,Tumor,3045,
9693,Tumor,4167,
8207,Tumor,1176,17181,27139,
5576,Tumor,251,465,28832,40382,
5854,Tumor,15915,15956,20096,40354,41615,
4253,Tumor,8173,14647,
10195,Tumor,35560,43738,
7944,Tumor,2430,34618,37701,
5310,Tumor,8437,8486,25915,35269,40646,
3473,Tumor,2326,10916,32087,39128,
7910,Tumor,12880,16717,
6932,Tumor,8078,
5493,Tumor,29496,
7061,Tumor,10653,15374,
5144,Tumor,8572,25597,27838,
3652,Tumor,4399,6205,
7424,Tumor,42020,
12153,Tumor,4582,
6420,Tumor,13030,29409,
6313,Tumor,4198,
4915,Tumor,1174,
9338,Tumor,6436,43738,
3760,Tumor,12358,14716,15708,20552,31974,34965,
12082,Tumor,9191,
5857,Tumor,7914,
6361,Tumor,7263,
7329,Tumor,11523,
4675,Tumor,1049,
7389,Tumor,8289,28951,
8252,Tumor,30533,
8989,Tumor,2190,3715,12835,
10123,Tumor,15597,
5948,Tumor,34941,
9376,Tumor,10340,
5057,Tumor,3100,
10692,Tumor,10913,12733,32508,42813,
5719,Tumor,21616,
6361,Tumor,1138,11670,
8091,Tumor,628,26341,
7822,Tumor,6892,
8359,Tumor,5724,8004,
6205,Tumor,8504,
7467,Tumor,1884,45790,
4436,Tumor,10013,32339,
12292,Tumor,5698,
10634,Tumor,879,
4813,Tumor,8572,18540,31179,36101,
7224,Tumor,15045,
9771,Tumor,3529,33976,
5271,Tumor,18106,
6905,Tumor,2708,
6819,Tumor,46716,
10909,Tumor,23182,33312,46562,
9878,Tumor,22992,
9391,Tumor,10615,
5840,Tumor,19637,36445,
5169,Tumor,11026,13540,14519,18300,23934,24950,26087,31943,33575,
9350,Tumor,900,
5443,Tumor,4795,21603,
8301,Tumor,1476,
6793,Tumor,5038,39778,
5674,Tumor,6789,38098,
11438,Tumor,18440,
7061,Tumor,2110,6981,17883,
9684,Tumor,33139,35245,
4300,Tumor,37916,
7953,Tumor,8274,32938,46870,
6007,Tumor,31118,
27529,Tumor,106,
7474,Tumor,11,
5141,Tumor,10825,
4983,Tumor,8268,9934,11327,28982,44971,
5428,Tumor,3291,
5797,Tumor,1758,
3853,Tumor,15273,
9657,Tumor,1106,
3995,Tumor,23374,31632,
7365,Tumor,7,7919,22909,35776,39347,
6746,Tumor,3481,35284,
4570,Tumor,26596,
3805,Tumor,22018,27774,28602,31287,44422,
5953,Tumor,25597,28580,
6239,Tumor,4969,12408,15056,34878,39027,45023,46704,
7505,Tumor,4342,
8283,Tumor,4669,
6577,Tumor,31064,
