Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree
49,0.7132486388384754,0.7234468937875751,1244,0
50,0.3103448275862069,0.3046092184368738,375,0
51,0.3793103448275862,0.39478957915831664,562,0
52,0.11796733212341198,0.1282565130260521,151,0
53,0.0018148820326678765,0.002004008016032064,0,194
54,0.003629764065335753,0.004008016032064128,2,4037
55,0.10707803992740472,0.11623246492985972,91,0
56,0.2577132486388385,0.2625250501002004,243,0
57,0.2613430127041742,0.2745490981963928,687,0
58,0.019963702359346643,0.018036072144288578,8,378
59,0.0018148820326678765,0.002004008016032064,0,126
60,0.46098003629764067,0.4468937875751503,1264,0
61,0.029038112522686024,0.028056112224448898,11,574
62,0.039927404718693285,0.04408817635270541,20,37
63,0.2558983666061706,0.2605210420841683,438,0
64,0.007259528130671506,0.008016032064128256,4,600
65,0.030852994555353903,0.03206412825651302,40,656
66,0.3684210526315789,0.38877755511022044,476,0
67,0.018148820326678767,0.02004008016032064,9,716
68,0.038112522686025406,0.03406813627254509,18,67
69,0.029038112522686024,0.028056112224448898,23,161
70,0.007259528130671506,0.006012024048096192,3,431
71,0.06533575317604355,0.06813627254509018,29,2
72,0.003629764065335753,0.004008016032064128,2,2737
73,0.19782214156079855,0.19438877755511022,247,0
74,0.5607985480943739,0.5771543086172345,1577,0
75,0.1851179673321234,0.20240480961923848,195,0
76,0.023593466424682397,0.026052104208416832,16,124
77,0.08348457350272233,0.09018036072144289,40,6
78,0.15245009074410162,0.156312625250501,192,1
79,0.023593466424682397,0.026052104208416832,23,277
80,0.009074410163339383,0.01002004008016032,6,935
81,0.33756805807622503,0.34468937875751504,347,0
82,0.003629764065335753,0.002004008016032064,2,454
83,0.007259528130671506,0.008016032064128256,4,931
84,0.0018148820326678765,0.002004008016032064,0,217
85,0.010889292196007259,0.012024048096192385,5,913
86,0.016333938294010888,0.01002004008016032,6,169
87,0.15063520871143377,0.15430861723446893,234,1
88,0.1724137931034483,0.1903807615230461,155,0
89,0.8021778584392014,0.8096192384769539,3129,0
90,0.023593466424682397,0.02404809619238477,15,221
91,0.21234119782214156,0.22845691382765532,227,0
92,0.07622504537205081,0.06613226452905811,56,0
93,0.019963702359346643,0.022044088176352707,8,475
94,0.032667876588021776,0.03206412825651302,16,14
95,0.025408348457350273,0.022044088176352707,11,104
96,0.032667876588021776,0.036072144288577156,25,498
97,0.012704174228675136,0.01002004008016032,6,511
98,0.007259528130671506,0.008016032064128256,7,376
99,0.0054446460980036296,0.006012024048096192,3,523
100,0.007259528130671506,0.008016032064128256,9,270
101,0.0544464609800363,0.06012024048096192,28,5
102,0.15245009074410162,0.16432865731462926,233,0
103,0.3430127041742287,0.342685370741483,512,0
104,0.0054446460980036296,0.006012024048096192,2,544
105,0.5862068965517241,0.5951903807615231,883,0
106,0.0018148820326678765,0.002004008016032064,0,296
107,0.0018148820326678765,0.002004008016032064,0,186
108,0.22323049001814882,0.22244488977955912,130,0
109,0.010889292196007259,0.01002004008016032,5,531
110,0.009074410163339383,0.01002004008016032,4,468
111,0.0925589836660617,0.09819639278557114,50,242
112,0.016333938294010888,0.01603206412825651,7,294
113,0.1161524500907441,0.12224448897795591,98,0
114,0.010889292196007259,0.012024048096192385,6,1557
115,0.041742286751361164,0.03206412825651302,29,31
116,0.034482758620689655,0.03807615230460922,19,6
117,0.016333938294010888,0.012024048096192385,8,223
118,0.4246823956442831,0.42685370741482964,717,0
119,0.1306715063520871,0.14428857715430862,114,0
120,0.021778584392014518,0.02404809619238477,14,437
121,0.010889292196007259,0.012024048096192385,13,459
122,0.4827586206896552,0.49298597194388777,1197,0
123,0.455535390199637,0.44288577154308617,821,0
124,0.06533575317604355,0.07014028056112225,33,98
125,0.030852994555353903,0.03406813627254509,12,43
126,0.0018148820326678765,0.002004008016032064,0,219
127,0.10163339382940109,0.11222444889779559,86,7
128,0.04900181488203267,0.05410821643286573,44,119
129,0.018148820326678767,0.02004008016032064,9,5
130,0.4791288566243194,0.48897795591182364,1188,0
131,0.19419237749546278,0.2124248496993988,221,22
132,0.014519056261343012,0.01603206412825651,20,239
133,0.1306715063520871,0.13827655310621242,216,0
134,0.034482758620689655,0.036072144288577156,15,75
135,0.2831215970961887,0.2865731462925852,472,0
136,0.010889292196007259,0.012024048096192385,10,800
137,0.147005444646098,0.1462925851703407,158,0
138,0.009074410163339383,0.008016032064128256,4,1027
139,0.42105263157894735,0.43687374749499,496,0
140,0.33756805807622503,0.35671342685370744,447,0
141,0.0054446460980036296,0.004008016032064128,2,1164
142,0.455535390199637,0.46893787575150303,677,0
143,0.5607985480943739,0.5891783567134269,1072,0
144,0.12341197822141561,0.12224448897795591,96,0
145,0.0018148820326678765,0.002004008016032064,0,161
146,0.14519056261343014,0.1523046092184369,139,0
147,0.034482758620689655,0.03807615230460922,16,2
148,0.019963702359346643,0.018036072144288578,15,252
149,0.036297640653357534,0.04008016032064128,44,739
150,0.07259528130671507,0.06412825651302605,69,25
151,0.24500907441016334,0.25851703406813625,264,0
152,0.021778584392014518,0.02404809619238477,12,491
153,0.20689655172413793,0.22645290581162325,224,0
154,0.021778584392014518,0.02404809619238477,16,273
155,0.018148820326678767,0.018036072144288578,13,9
156,0.04900181488203267,0.052104208416833664,54,75
157,0.056261343012704176,0.06012024048096192,53,16
158,0.045372050816696916,0.050100200400801605,22,69
159,0.2558983666061706,0.2785571142284569,400,0
160,0.08711433756805807,0.09619238476953908,46,0
161,0.018148820326678767,0.018036072144288578,8,29
162,0.17604355716878403,0.18837675350701402,266,0
163,0.6152450090744102,0.6172344689378757,1787,0
164,0.09800362976406533,0.10420841683366733,48,9
165,0.12522686025408347,0.1342685370741483,54,7
166,0.007259528130671506,0.008016032064128256,5,1104
167,0.2885662431941924,0.3106212424849699,281,1
168,0.06533575317604355,0.06613226452905811,29,1
169,0.007259528130671506,0.008016032064128256,2,1012
170,0.016333938294010888,0.014028056112224449,8,170
171,0.016333938294010888,0.014028056112224449,10,408
172,0.4319419237749546,0.45090180360721444,761,0
173,0.06170598911070781,0.06813627254509018,54,382
174,0.007259528130671506,0.008016032064128256,6,323
175,0.2250453720508167,0.22244488977955912,257,0
176,0.18330308529945555,0.20040080160320642,170,0
177,0.043557168784029036,0.04609218436873747,23,194
178,0.3466424682395644,0.374749498997996,414,0
179,0.16333938294010888,0.17835671342685372,165,0
180,0.15970961887477314,0.1683366733466934,150,1
181,0.025408348457350273,0.028056112224448898,14,17
182,0.014519056261343012,0.014028056112224449,18,343
183,0.18148820326678766,0.19839679358717435,213,45
184,0.030852994555353903,0.03406813627254509,15,1051
