Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Brownian Nodes (Out degree>0),Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
47,TCGA-CH-5750-01A,Tumor,7993,1,6621,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
48,TCGA-VP-A87H-01A,Tumor,7948,2,6181 36774,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
49,TCGA-KK-A7B2-01A,Tumor,6226,5,2690 36183 36492,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
50,TCGA-YL-A9WI-01A,Tumor,9970,1,4234,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
51,TCGA-EJ-A65M-01A,Tumor,7843,4,4115 9208 38472,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
52,TCGA-VN-A88M-01A,Tumor,9202,1,6991,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
53,TCGA-EJ-A65D-01A,Tumor,12233,3,17182 36738,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
54,TCGA-J9-A8CK-01A,Tumor,5173,1,16442,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
55,TCGA-EJ-5503-01A,Tumor,2410,1,18380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,TCGA-M7-A720-01A,Tumor,3299,424,Multiple,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,TCGA-XK-AAJT-01A,Tumor,4931,3,2814 7366,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
58,TCGA-KK-A6E8-01A,Tumor,9662,311,Multiple,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
59,TCGA-HI-7169-01A,Tumor,10050,1,7838,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
60,TCGA-V1-A9OF-01A,Tumor,8287,1,5591,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1
61,TCGA-HC-A6AQ-01A,Tumor,8544,4,4367 13441,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
62,TCGA-YL-A9WH-01A,Tumor,8988,1,16426,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1
63,TCGA-G9-6384-01A,Tumor,3462,11,841 17943 18567 21122,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
64,TCGA-HC-A6HX-01A,Tumor,9955,1,1478,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
65,TCGA-KK-A8I8-01A,Tumor,8681,1,44626,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1
66,TCGA-HC-A6AO-01A,Tumor,10475,2,6048,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
67,TCGA-VP-A87C-01A,Tumor,7277,1,25876,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
68,TCGA-KK-A8IC-01A,Tumor,4441,1,5219,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
69,TCGA-KC-A7F6-01A,Tumor,7030,2,20587,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
70,TCGA-G9-6365-11A,Normal,5932,1,635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,TCGA-V1-A8MK-01A,Tumor,3750,219,Multiple,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
72,TCGA-EJ-7314-01A,Tumor,5891,3,8136 20554,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
