Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
229,TCGA-EJ-8472-01A,Tumor,8275,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
230,TCGA-HC-7210-01A,Tumor,5213,360,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
231,TCGA-CH-5769-01A,Tumor,6577,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
232,TCGA-G9-6361-01A,Tumor,5049,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
233,TCGA-YL-A8HO-01A,Tumor,5559,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
234,TCGA-EJ-7315-11A,Normal,4246,194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,TCGA-ZG-A9MC-01A,Tumor,6232,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
236,TCGA-EJ-7317-11A,Normal,2498,436,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,TCGA-XK-AAIV-01A,Tumor,8457,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
238,TCGA-J4-A83L-01A,Tumor,5032,2,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
239,TCGA-VN-A943-01A,Tumor,9384,3,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
240,TCGA-ZG-A9KY-01A,Tumor,9924,3,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1
241,TCGA-G9-6356-11A,Normal,4376,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,TCGA-YL-A8SH-01B,Tumor,7327,20,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1
243,TCGA-EJ-7792-11A,Normal,2664,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,TCGA-G9-6499-01A,Tumor,5951,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
245,TCGA-HC-8259-11A,Normal,2973,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,TCGA-G9-A9S7-01A,Tumor,7504,4,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
247,TCGA-EJ-5522-01A,Tumor,4684,2,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0
248,TCGA-ZG-A8QX-01A,Tumor,5805,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
249,TCGA-QU-A6IP-01A,Tumor,6133,340,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
250,TCGA-V1-A9OH-01A,Tumor,4603,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
251,TCGA-ZG-A9L9-01A,Tumor,7238,3,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1
252,TCGA-X4-A8KS-01A,Tumor,9327,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
253,TCGA-EJ-7115-01A,Tumor,4012,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
254,TCGA-KK-A7B4-01A,Tumor,8544,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
255,TCGA-VP-A879-01A,Tumor,4740,185,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
256,TCGA-EJ-5542-01A,Tumor,5477,452,2,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
257,TCGA-YL-A8HK-01A,Tumor,7087,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
258,TCGA-EJ-7783-01A,Tumor,4663,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
259,TCGA-EJ-A46I-01A,Tumor,5071,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
260,TCGA-EJ-A65J-01A,Tumor,7412,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
261,TCGA-XQ-A8TB-01A,Tumor,6903,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0
262,TCGA-HC-7213-01A,Tumor,6352,453,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
263,TCGA-G9-6343-01A,Tumor,8062,660,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
264,TCGA-XK-AAIW-01A,Tumor,9216,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
265,TCGA-KK-A8I9-01A,Tumor,7540,2,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1
266,TCGA-EJ-5526-01A,Tumor,5097,326,2,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
267,TCGA-KK-A6E6-01A,Tumor,5132,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
268,TCGA-G9-6362-01A,Tumor,10521,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
269,TCGA-HC-8262-11A,Normal,4737,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,TCGA-QU-A6IM-01A,Tumor,13548,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
271,TCGA-HC-7819-01A,Tumor,7077,368,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
272,TCGA-YL-A9WL-01A,Tumor,9091,2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1
273,TCGA-EJ-A7NN-01A,Tumor,7255,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
274,TCGA-HC-7817-01B,Tumor,4802,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
275,TCGA-XA-A8JR-01A,Tumor,5656,467,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
276,TCGA-G9-6336-01A,Tumor,3746,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
277,TCGA-KK-A6E5-01A,Tumor,5699,4,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0
278,TCGA-HI-7168-01A,Tumor,5295,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
279,TCGA-V1-A9O7-01A,Tumor,5343,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
280,TCGA-EJ-7315-01A,Tumor,6899,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
281,TCGA-EJ-5508-01A,Tumor,4599,2,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
282,TCGA-CH-5738-01A,Tumor,4470,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
283,TCGA-EJ-5507-01A,Tumor,6648,2,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
284,TCGA-EJ-7782-01A,Tumor,8240,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0
285,TCGA-G9-6329-01A,Tumor,3479,562,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,TCGA-J9-A8CN-01A,Tumor,8532,382,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1
287,TCGA-HC-7747-01A,Tumor,3961,434,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
288,TCGA-EJ-7784-11A,Normal,2247,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,TCGA-ZG-A9L1-01A,Tumor,8309,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
290,TCGA-ZG-A9ND-01A,Tumor,8377,438,2,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1
291,TCGA-EJ-A65G-01A,Tumor,7938,9,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
292,TCGA-M7-A724-01A,Tumor,11236,2,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1
293,TCGA-CH-5767-11B,Normal,3795,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,TCGA-XK-AAJA-01A,Tumor,10731,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0
295,TCGA-CH-5745-01A,Tumor,5278,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
296,TCGA-J4-AATV-01A,Tumor,5184,212,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
297,TCGA-VP-AA1N-01A,Tumor,6880,221,2,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1
298,TCGA-HC-8260-11A,Normal,3419,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,TCGA-HC-A48F-01A,Tumor,9357,2,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0
300,TCGA-G9-A9S4-01A,Tumor,8869,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
301,TCGA-HC-8213-01A,Tumor,8277,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
302,TCGA-YL-A8SK-01B,Tumor,6566,2,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
303,TCGA-2A-A8VO-01A,Tumor,7175,2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
304,TCGA-HC-A76W-01A,Tumor,5402,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
305,TCGA-VP-A87E-01A,Tumor,6044,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
306,TCGA-HC-8258-11A,Normal,7457,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,TCGA-G9-6339-01A,Tumor,6211,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,TCGA-TP-A8TT-01A,Tumor,6734,2,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
309,TCGA-G9-6356-01A,Tumor,3048,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
310,TCGA-XJ-A83H-01A,Tumor,5995,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
311,TCGA-EJ-7793-01A,Tumor,4150,8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
312,TCGA-EJ-5515-01A,Tumor,4435,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
313,TCGA-H9-A6BY-01A,Tumor,10179,6,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
314,TCGA-CH-5744-01A,Tumor,5884,357,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
315,TCGA-VP-A875-01A,Tumor,11070,5,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
316,TCGA-J4-A67R-01A,Tumor,7957,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
317,TCGA-XJ-A9DI-01A,Tumor,7386,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
318,TCGA-EJ-7784-01A,Tumor,7937,2,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
319,TCGA-HC-7750-01A,Tumor,3392,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,TCGA-HC-7747-11A,Normal,6503,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,TCGA-CH-5794-01A,Tumor,6293,2,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
322,TCGA-HC-A8D1-01A,Tumor,3787,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
323,TCGA-V1-A9Z8-01A,Tumor,4488,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
324,TCGA-EJ-5511-01A,Tumor,5714,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
325,TCGA-HC-A6AL-01A,Tumor,8772,347,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
326,TCGA-EJ-5510-01A,Tumor,3651,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
327,TCGA-HC-7077-01A,Tumor,7562,769,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
328,TCGA-HC-A76X-01A,Tumor,8083,4,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1
329,TCGA-KK-A7AW-01A,Tumor,13654,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
330,TCGA-HC-7742-01A,Tumor,4525,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
331,TCGA-CH-5763-01A,Tumor,4214,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
332,TCGA-J4-A6G3-01A,Tumor,5657,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
333,TCGA-VP-A872-01A,Tumor,8650,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1
334,TCGA-G9-6385-01A,Tumor,2528,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
335,TCGA-HC-8262-01A,Tumor,5725,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
336,TCGA-J9-A52C-01A,Tumor,4933,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
337,TCGA-G9-6498-01A,Tumor,9404,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
338,TCGA-G9-6378-01A,Tumor,4952,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
339,TCGA-KK-A8IJ-01A,Tumor,6137,3,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0
340,TCGA-XQ-A8TA-01A,Tumor,13704,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
341,TCGA-J4-A67T-01A,Tumor,5770,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
342,TCGA-EJ-A7NH-01A,Tumor,6742,649,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
343,TCGA-G9-6348-11A,Normal,3600,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,TCGA-HC-8216-01A,Tumor,6433,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
345,TCGA-2A-A8W1-01A,Tumor,9394,5,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
346,TCGA-J4-A83N-01A,Tumor,6599,223,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
347,TCGA-KK-A59Y-01A,Tumor,9666,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
348,TCGA-YL-A8SB-01A,Tumor,4960,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
349,TCGA-V1-A9O5-01A,Tumor,8874,312,2,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1
350,TCGA-EJ-5495-01A,Tumor,4298,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
351,TCGA-G9-6373-01A,Tumor,6060,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
352,TCGA-EJ-7331-01A,Tumor,3692,376,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
353,TCGA-HC-8258-01A,Tumor,4049,115,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
354,TCGA-EJ-A8FS-01A,Tumor,7920,7,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1
355,TCGA-J4-A67M-01A,Tumor,7913,3,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
356,TCGA-KC-A7FE-01A,Tumor,3176,17,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
357,TCGA-HC-7081-01A,Tumor,5838,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
358,TCGA-ZG-A9L0-01A,Tumor,7432,2,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0
359,TCGA-EJ-5499-01A,Tumor,4875,11,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
360,TCGA-EJ-7797-11A,Normal,2571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,TCGA-2A-AAYO-01A,Tumor,6438,4,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
362,TCGA-CH-5762-01A,Tumor,5962,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
363,TCGA-KK-A8IL-01A,Tumor,7107,3,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
364,TCGA-CH-5752-01A,Tumor,8706,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
365,TCGA-HC-A8D0-01A,Tumor,4534,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
366,TCGA-EJ-7321-11A,Normal,2564,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,TCGA-J4-8200-01A,Tumor,5495,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
368,TCGA-EJ-5517-01A,Tumor,4681,736,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
369,TCGA-EJ-7781-11A,Normal,4177,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,TCGA-EJ-7328-11A,Normal,3321,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,TCGA-KK-A8I5-01A,Tumor,6942,406,2,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1
372,TCGA-CH-5789-01A,Tumor,4047,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
373,TCGA-EJ-7125-11A,Normal,4944,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,TCGA-VN-A88P-01A,Tumor,5998,233,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
375,TCGA-CH-5753-01A,Tumor,10566,2,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0
376,TCGA-EJ-A46G-01A,Tumor,9567,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0
377,TCGA-EJ-7794-01A,Tumor,3778,157,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
378,TCGA-HC-7738-01A,Tumor,6187,417,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
379,TCGA-CH-5765-01A,Tumor,6807,2,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
380,TCGA-J4-A67N-01A,Tumor,10785,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
381,TCGA-X4-A8KQ-01A,Tumor,7337,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
382,TCGA-XJ-A9DX-01A,Tumor,10577,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0
383,TCGA-CH-5768-01A,Tumor,7348,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
384,TCGA-ZG-A9L5-01A,Tumor,9634,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0
385,TCGA-J9-A8CL-01A,Tumor,8224,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
386,TCGA-HC-A6AN-01A,Tumor,9332,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
387,TCGA-Y6-A8TL-01A,Tumor,5987,3,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1
388,TCGA-J4-A83K-01A,Tumor,5148,536,2,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1
389,TCGA-Y6-A9XI-01A,Tumor,8533,4,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
390,TCGA-KC-A4BR-01A,Tumor,5187,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
391,TCGA-J4-AAU2-01A,Tumor,6587,990,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
392,TCGA-EJ-7786-01A,Tumor,4337,599,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
393,TCGA-CH-5739-01A,Tumor,5812,525,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
394,TCGA-HC-7075-01A,Tumor,6589,3,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
395,TCGA-G9-7525-01A,Tumor,7320,3,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
396,TCGA-KC-A4BV-01A,Tumor,6685,4,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0
397,TCGA-FC-A8O0-01A,Tumor,7106,2,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0
398,TCGA-EJ-7321-01A,Tumor,6104,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
399,TCGA-CH-5772-01A,Tumor,6474,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
400,TCGA-EJ-7312-01B,Tumor,7743,3,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1
401,TCGA-VP-A876-01A,Tumor,8447,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
402,TCGA-ZG-A9LZ-01A,Tumor,8254,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1
403,TCGA-V1-A9OA-01A,Tumor,5700,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
404,TCGA-G9-6365-01A,Tumor,3431,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
405,TCGA-EJ-A8FP-01A,Tumor,3041,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
406,TCGA-V1-A8WV-01A,Tumor,10631,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1
407,TCGA-YL-A8SP-01B,Tumor,9396,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
408,TCGA-EJ-5532-01A,Tumor,5193,242,2,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0
409,TCGA-H9-7775-01A,Tumor,5136,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
410,TCGA-J4-8198-01A,Tumor,6198,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0
411,TCGA-CH-5768-11A,Normal,4208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,TCGA-YL-A8SC-01A,Tumor,7933,3,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
413,TCGA-VP-A87D-01A,Tumor,9131,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
414,TCGA-KC-A7FA-01A,Tumor,8038,3,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1
415,TCGA-EJ-5521-01A,Tumor,5498,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
416,TCGA-HC-7736-01A,Tumor,5318,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
417,TCGA-HC-8265-01B,Tumor,21434,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0
418,TCGA-HC-7080-01A,Tumor,10530,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1
419,TCGA-EJ-5512-01A,Tumor,4204,576,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
420,TCGA-EJ-7786-11A,Normal,3504,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,TCGA-EJ-A46E-01A,Tumor,6169,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
422,TCGA-V1-A8WW-01A,Tumor,7740,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
423,TCGA-CH-5792-01A,Tumor,3442,266,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
424,TCGA-KK-A8IH-01A,Tumor,10654,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1
425,TCGA-QU-A6IN-01A,Tumor,13373,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1
426,TCGA-G9-6371-01A,Tumor,6338,1571,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
427,TCGA-HC-8256-01A,Tumor,6434,381,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
428,TCGA-V1-A9Z9-01A,Tumor,5811,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1
429,TCGA-VP-A87K-01A,Tumor,8599,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
430,TCGA-G9-6499-11A,Normal,4873,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,TCGA-EJ-A8FO-01A,Tumor,3729,634,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
432,TCGA-G9-6338-01A,Tumor,8906,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0
433,TCGA-G9-6342-11A,Normal,3526,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,TCGA-V1-A9OY-01A,Tumor,5877,3,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1
435,TCGA-CH-5751-01A,Tumor,11338,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0
436,TCGA-2A-AAYF-01A,Tumor,6916,9,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
437,TCGA-EJ-7789-01A,Tumor,11904,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0
438,TCGA-KK-A7AU-01A,Tumor,10604,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
439,TCGA-YL-A9WK-01A,Tumor,6839,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
440,TCGA-CH-5791-01A,Tumor,6609,4,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
441,TCGA-YL-A8SI-01A,Tumor,4463,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
442,TCGA-G9-6363-11A,Normal,3331,169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,TCGA-G9-A9S0-01A,Tumor,8456,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
444,TCGA-G9-7522-01A,Tumor,3258,263,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
445,TCGA-YJ-A8SW-01A,Tumor,9051,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
446,TCGA-EJ-7325-01B,Tumor,11969,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
447,TCGA-CH-5761-01A,Tumor,8659,4,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
448,TCGA-TP-A8TV-01A,Tumor,9596,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1
449,TCGA-KK-A59Z-01A,Tumor,7160,2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0
450,TCGA-CH-5761-11A,Normal,3503,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,TCGA-G9-6364-01A,Tumor,5623,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
452,TCGA-EJ-5502-01A,Tumor,3651,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
453,TCGA-J4-A6M7-01A,Tumor,6361,6,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
454,TCGA-HC-7821-01A,Tumor,7024,4,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
455,TCGA-G9-6366-01A,Tumor,7369,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
456,TCGA-EJ-5506-01A,Tumor,4426,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
457,TCGA-HC-A4ZV-01A,Tumor,9633,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0
458,TCGA-ZG-A9L6-01A,Tumor,3742,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
459,TCGA-FC-7708-01A,Tumor,3979,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
460,TCGA-XJ-A83F-01A,Tumor,8704,191,2,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
461,TCGA-V1-A8WN-01A,Tumor,4631,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
462,TCGA-HC-A6AS-01A,Tumor,7670,506,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
