Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
63,TCGA-G9-6384-01A,Tumor,3462,11,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
64,TCGA-HC-A6HX-01A,Tumor,9955,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
65,TCGA-KK-A8I8-01A,Tumor,8681,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1
66,TCGA-HC-A6AO-01A,Tumor,10475,2,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
67,TCGA-VP-A87C-01A,Tumor,7277,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
68,TCGA-KK-A8IC-01A,Tumor,4441,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
69,TCGA-KC-A7F6-01A,Tumor,7030,2,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
70,TCGA-G9-6365-11A,Normal,5932,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,TCGA-V1-A8MK-01A,Tumor,3750,219,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
72,TCGA-EJ-7314-01A,Tumor,5891,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
73,TCGA-HC-A631-01A,Tumor,8063,5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
74,TCGA-2A-A8VT-01A,Tumor,9370,233,2,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0
75,TCGA-YL-A8SA-01A,Tumor,9302,3,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
76,TCGA-EJ-7793-11A,Normal,2091,146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,TCGA-KK-A6DY-01A,Tumor,7398,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
78,TCGA-ZG-A9LB-01A,Tumor,9330,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
